,cum_infections,cum_infectious,cum_tests,cum_diagnoses,cum_recoveries,cum_symptomatic,cum_severe,cum_critical,cum_deaths,cum_quarantined,new_infections,new_infectious,new_tests,new_diagnoses,new_recoveries,new_symptomatic,new_severe,new_critical,new_deaths,new_quarantined,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_diagnosed,n_quarantined,prevalence,incidence,r_eff,doubling_time,test_yield,t
0,400.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2246000.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017777777777777779,0.0,2.1221131188487172,,0.0,0
1,400.4,5.6,6.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.4,5.6,1.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,2245996.0,400.4,5.6,1.8,0.0,0.0,0.0,0.0,0.00017795555555555554,1.780951829705386e-07,2.3150324932895097,,0.0,1
2,422.4,56.0,8.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,22.0,50.4,2.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,2245776.0,422.4,56.0,13.2,0.0,0.0,0.0,0.0,0.00018773333333333333,9.796229131455863e-06,2.328025129990666,,0.0,2
3,464.6,141.4,8.0,0.0,0.0,48.4,0.0,0.0,0.0,0.0,42.2,85.4,0.0,0.0,0.0,35.2,0.0,0.0,0.0,0.0,2245354.0,464.6,141.4,48.4,0.0,0.0,0.0,0.0,0.0002064888888888889,1.8794444146740162e-05,2.29004099128466,14.139089212649633,0.0,3
4,540.4,229.2,10.0,0.0,0.0,97.6,0.0,0.0,0.0,0.0,75.8,87.8,2.0,0.0,0.0,49.2,0.0,0.0,0.0,0.0,2244596.0,540.4,229.2,97.6,0.0,0.0,0.0,0.0,0.00024017777777777779,3.377001259671262e-05,2.2011664415260404,6.953556210723713,0.0,4
5,633.8,305.8,10.0,0.0,0.0,152.0,0.2,0.0,0.0,0.0,93.4,76.6,0.0,0.0,0.0,54.4,0.2,0.0,0.0,0.0,2243662.0,633.8,305.8,152.0,0.2,0.0,0.0,0.0,0.00028168888888888886,4.1628507769576537e-05,2.0992776276585734,5.139595652752763,0.0,5
6,729.0,377.6,11.0,0.0,0.2,204.6,0.2,0.0,0.0,0.0,95.2,71.8,1.0,0.0,0.2,52.6,0.0,0.0,0.0,0.0,2242710.0,728.8,377.4,204.6,0.2,0.0,0.0,0.0,0.0003239111111111111,4.244866670122481e-05,2.001839282717422,4.617638403979564,0.0,6
7,830.8,443.6,11.0,0.0,0.6,247.8,1.2,0.2,0.0,0.0,101.8,66.0,0.0,0.0,0.4,43.2,1.0,0.2,0.0,0.0,2241692.0,830.2,443.0,247.6,1.2,0.2,0.0,0.0,0.00036897777777777777,4.5412528399288874e-05,1.9244275632373,4.840115842016518,0.0,7
8,941.8,515.6,12.0,0.0,6.2,292.6,3.0,0.6,0.0,0.0,111.0,72.0,1.0,0.0,5.6,44.8,1.8,0.4,0.0,0.0,2240582.0,935.6,509.4,290.2,3.0,0.6,0.0,0.0,0.0004158222222222223,4.954144279224191e-05,1.8740554593091758,5.283754200898729,0.0,8
9,1048.0,599.0,13.0,0.0,24.0,344.8,5.0,0.8,0.0,0.0,106.2,83.4,1.0,0.0,17.8,52.2,2.0,0.2,0.0,0.0,2239520.0,1024.0,575.0,334.0,5.0,0.8,0.0,0.0,0.00045511111111111116,4.742146067884195e-05,1.852644174992126,5.776606299701358,0.0,9
10,1180.2,686.2,13.0,0.0,56.0,397.0,7.8,0.8,0.0,0.0,132.2,87.2,0.0,0.0,32.0,52.2,2.8,0.0,0.0,0.0,2238198.0,1124.2,630.2,369.6,7.8,0.8,0.0,0.0,0.0004996444444444445,5.906558775363811e-05,1.8608548752814553,5.940990423353584,0.0,10
11,1316.2,786.6,13.0,0.0,104.2,457.2,10.2,1.2,0.0,0.0,136.0,100.4,0.0,0.0,48.2,60.2,2.4,0.4,0.0,0.0,2236838.0,1212.0,682.4,402.0,10.2,1.2,0.0,0.0,0.0005386666666666667,6.08008106167038e-05,1.9058141000954016,6.226472191937967,0.0,11
12,1475.0,890.6,13.0,0.0,169.0,523.0,14.6,1.4,0.0,0.0,158.8,104.0,0.0,0.0,64.8,65.8,4.4,0.2,0.0,0.0,2235250.0,1306.0,721.6,428.4,14.6,1.4,0.0,0.0,0.0005804444444444444,7.104506084293501e-05,1.9784011416447727,6.093725965249537,0.0,12
13,1649.6,1011.6,13.0,0.0,240.0,593.4,16.8,2.0,0.2,0.0,174.6,121.0,0.0,0.0,71.0,70.4,2.2,0.6,0.2,0.0,2233504.0,1409.4,771.4,453.6,16.6,1.8,0.0,0.0,0.0006264000507654546,7.817632760181765e-05,2.0289611924266744,6.234400088714392,0.0,13
14,1830.2,1133.6,13.0,0.0,311.2,673.4,19.0,2.4,0.2,0.0,180.6,122.0,0.0,0.0,71.2,80.0,2.2,0.4,0.0,0.0,2231698.0,1518.8,822.2,488.8,18.8,2.2,0.0,0.0,0.0006750222772148394,8.092650982085028e-05,2.029212626925168,6.327041324160382,0.0,14
15,2026.8,1273.8,13.0,0.0,379.0,765.8,23.4,3.8,0.4,0.0,196.6,140.2,0.0,0.0,67.8,92.4,4.4,1.4,0.2,0.0,2229732.0,1647.4,894.4,537.4,23.0,3.4,0.0,0.0,0.000732177901906228,8.817405001933123e-05,2.0040571326947783,6.555117259050732,0.0,15
16,2230.0,1415.6,13.0,0.0,454.2,860.8,28.4,4.2,0.6,0.0,203.2,141.8,0.0,0.0,75.2,95.0,5.0,0.4,0.2,0.0,2227700.0,1775.2,960.8,584.2,27.8,3.6,0.0,0.0,0.0007889779829334869,9.12162571975233e-05,1.982527051267585,6.905249149147029,0.0,16
17,2457.8,1580.4,13.0,0.0,528.2,957.8,33.0,4.8,0.8,0.0,227.8,164.8,0.0,0.0,74.0,97.0,4.6,0.6,0.2,0.0,2225422.0,1928.8,1051.4,633.4,32.2,4.0,0.0,0.0,0.0008572447513286001,0.00010236587609999707,1.9774342275416608,7.055332001815924,0.0,17
18,2701.4,1755.8,13.0,0.0,609.8,1069.2,37.0,5.8,0.8,0.0,243.6,175.4,0.0,0.0,81.6,111.4,4.0,1.0,0.0,0.0,2222986.0,2090.8,1145.2,694.2,36.0,5.0,0.0,0.0,0.0009292447779952852,0.00010958806266121184,1.986952960781489,7.2436071223674645,0.0,18
19,2978.2,1947.0,13.0,0.0,701.6,1190.8,42.0,6.8,1.2,0.0,276.8,191.2,0.0,0.0,91.8,121.6,5.0,1.0,0.4,0.0,2220218.0,2275.4,1244.2,756.6,40.4,5.6,0.0,0.0,0.0010112894194966849,0.00012467360957010813,1.9906297273630336,7.195341160871425,0.0,19
